qNo,question,scale
secsQ1,abortion,secs
secsQ2R,welfare benefits,secs
secsQ3R,tax,secs
secsQ4R,immigration,secs
secsQ5,limited/small government,secs
secsQ6,military and national security,secs
secsQ7,religion,secs
secsQ8,gun ownership,secs
secsQ9,traditional marriage,secs
secsQ10,traditional values,secs
secsQ11,fiscal responsibility,secs
secsQ12,business,secs
secsQ13,the family unit,secs
secsQ14,patriotism,secs
