effortLevel,nDots,coherence,dotFrames,speed,dotDirections,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetS,targetFrames,blockNumber,elapsedTime,resp,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned
3,500.0,0.01,12.0,0.01,90,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-40-37,60,90,1.5,1,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,3.820998191833496,left,0.3294520378112793,0.45,250.0,1,left,0,0
1,50.0,0.01,12.0,0.01,90,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-40-40,60,90,1.5,2,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,7.157236099243164,left,0.36902403831481934,0.65,250.0,2,left,0,0
0,10.0,0.01,12.0,0.01,270,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-40-44,60,90,1.5,3,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,10.728509187698364,left,0.40222811698913574,0.4,250.0,3,left,0,0
2,250.0,0.01,12.0,0.01,90,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-40-47,60,90,1.5,4,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,13.9653902053833,left,0.3189809322357178,0.45,250.0,4,left,0,0
2,250.0,0.01,3.0,0.01,0,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-40-51,60,90,1.5,1,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,17.768830060958862,left,0.3013920783996582,0.85,250.0,5,left,0,0
0,10.0,0.01,3.0,0.01,270,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-40-54,60,90,1.5,2,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,21.423657178878784,left,0.28563904762268066,0.45,250.0,6,left,0,0
1,50.0,0.01,3.0,0.01,180,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-40-58,60,90,1.5,3,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,24.793999195098877,left,0.4007580280303955,0.8,251.0,7,left,1,0
1,50.0,0.01,3.0,0.01,180,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-41-01,60,90,1.5,4,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,28.581438064575195,left,0.4524860382080078,0.45,251.0,8,left,1,0
2,250.0,0.01,3.0,0.01,0,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-41-05,60,90,1.5,5,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,31.93497610092163,left,0.3857259750366211,0.4,250.0,9,left,0,0
3,500.0,0.01,3.0,0.01,270,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-41-08,60,90,1.5,6,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,35.155524015426636,left,0.2968618869781494,0.65,250.0,10,left,0,0
0,10.0,0.01,3.0,0.01,270,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-41-11,60,90,1.5,7,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,38.675573110580444,left,0.35188794136047363,0.85,250.0,11,left,0,0
1,50.0,0.01,3.0,0.01,90,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-41-15,60,90,1.5,8,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,42.37949204444885,left,0.3342609405517578,0.9,250.0,12,left,0,0
3,500.0,0.01,3.0,0.01,90,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-41-19,60,90,1.5,9,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,46.06673812866211,left,0.2680821418762207,0.55,250.0,13,left,0,0
2,250.0,0.01,3.0,0.01,90,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-41-22,60,90,1.5,10,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,49.52085208892822,left,0.3832418918609619,0.8,250.0,14,left,0,0
3,500.0,0.01,3.0,0.01,90,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-41-26,60,90,1.5,11,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,53.17435312271118,left,0.3322610855102539,0.4,250.0,15,left,0,0
0,10.0,0.01,3.0,0.01,0,999,18,191018,2018-10-23-10-40-33,2018-10-23-10-41-29,60,90,1.5,12,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,56.64551305770874,left,0.5524890422821045,0.6,250.0,16,left,0,0
