effortLevel,nDots,coherence,dotFrames,speed,dotDirections,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetS,targetFrames,blockNumber,elapsedTime,resp,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned
3,500.0,0.01,12.0,0.01,90,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-23,60,90,1.5,1,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,3.506721019744873,right,0.32977890968322754,0.7,250.0,1,right,0,0
0,10.0,0.01,12.0,0.01,0,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-27,60,90,1.5,2,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,7.060701847076416,right,0.3351900577545166,0.6,251.0,2,right,1,0
1,50.0,0.01,12.0,0.01,270,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-30,60,90,1.5,3,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,10.567685842514038,right,0.36887311935424805,0.4,250.0,3,right,0,0
2,250.0,0.01,12.0,0.01,270,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-34,60,90,1.5,4,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,13.83440899848938,right,0.3507721424102783,0.55,250.0,4,right,0,0
2,250.0,0.01,3.0,0.01,0,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-38,60,90,1.5,1,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,17.771373987197876,right,0.3346688747406006,0.9,251.0,5,right,1,0
1,50.0,0.01,3.0,0.01,90,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-41,60,90,1.5,2,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,21.47569489479065,right,0.2853250503540039,0.5,250.0,6,right,0,0
0,10.0,0.01,3.0,0.01,90,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-45,60,90,1.5,3,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,24.812736988067627,right,0.31882190704345703,0.7,250.0,7,right,0,0
0,10.0,0.01,3.0,0.01,90,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-48,60,90,1.5,4,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,28.36654806137085,right,0.3515760898590088,0.9,250.0,8,right,0,0
1,50.0,0.01,3.0,0.01,270,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-52,60,90,1.5,5,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,32.1205198764801,right,0.33527612686157227,0.8,250.0,9,right,0,0
3,500.0,0.01,3.0,0.01,90,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-56,60,90,1.5,6,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,35.758118867874146,right,0.31615495681762695,0.4,250.0,10,right,0,0
3,500.0,0.01,3.0,0.01,270,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-42-59,60,90,1.5,7,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,39.194809913635254,right,0.5018899440765381,0.7,250.0,11,right,0,0
0,10.0,0.01,3.0,0.01,180,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-43-03,60,90,1.5,8,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,42.7818329334259,right,0.36856698989868164,0.65,250.0,12,right,0,0
2,250.0,0.01,3.0,0.01,270,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-43-06,60,90,1.5,9,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,46.25146698951721,right,0.30148792266845703,0.4,250.0,13,right,0,0
3,500.0,0.01,3.0,0.01,90,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-43-09,60,90,1.5,10,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,49.43823599815369,right,0.2622509002685547,0.4,250.0,14,right,0,0
1,50.0,0.01,3.0,0.01,90,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-43-12,60,90,1.5,11,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,52.659366846084595,right,0.3014380931854248,0.45,250.0,15,right,0,0
2,250.0,0.01,3.0,0.01,0,999,18,191018,2018-10-23-10-42-20,2018-10-23-10-43-16,60,90,1.5,12,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,55.862799882888794,right,0.23527097702026367,0.45,251.0,16,right,1,0
