participant,age,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,digits,digitChange,digitsToModify,testDigits,correctAnswer,wrongAnswer,correctKey,acc,testDigitFrames,postTestDigitBlankFrames,postAllTestDigitBlankFrames
1,1,1,,mentalMathUpdating,18,39.0,180,2018-09-19-22-58-17,2018-09-19-22-58-34,1,16.815249919891357,,,0.7,,,1,3,6,1,640,206,205,j,0.0,30,42,30
1,1,1,,mentalMathUpdating,18,37.0,180,2018-09-19-22-58-17,2018-09-19-22-58-46,2,28.32644295692444,,0.4028639793395996,0.6,,,2,3,6,1,823,489,479,f,,30,42,30
